"node_index","node_id","node_type","node_name","node_description","indication","mechanism_of_action","node_source"
"138","DRUG_6907bcc509","Drug","Thuốc mới điều trị hiệu quả","Liều lượng không được nêu cụ thể trong văn bản.","Dùng để kiểm soát đường huyết và giảm biến chứng tim mạch, thận.","Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng có khả năng ức chế enzyme hoặc tăng cường nhạy cảm insulin.","https://bachmai.gov.vn/bai-viet/ca-the-hoa-dieu-tri-dai-thao-duong-tip-2-tai-cac-nuoc-dang-phat-trien-thach-thuc-va-co-hoi?id=4b51fe29-8515-42d1-bff3-85563163f16c"
"139","DRUG_6b6fe6e0f6","Drug","Không có thuốc được trích xuất","Không mô tả","","","https://web.archive.org/web/https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://xayenmo.ninhbinh.gov.vn/y-te-giao-duc/benh-dai-thao-duong-dau-hieu-nhan-biet-phan-loai-va-dieu-tri-389.html | https://web.archive.org/web/https://vista.gov.vn/vi/news/cac-linh-vuc-khoa-hoc-va-cong-nghe/dau-an-sinh-hoc-moi-trong-phat-trien-som-bien-chung-than-do-dai-thao-duong-9409.html"
"140","DRUG_6c104027d3","Drug","Corticoid","Liều dùng tùy theo chỉ định, thường không dùng lâu dài cho người đái tháo đường. | Liều cao gây tăng glucose máu rõ rệt. | Liều lượng không được nêu cụ thể trong văn bản. | Liều cao gây tăng đường huyết, nguy cơ biến chứng cấp tính. | Liều cao gây tăng glucose máu và nguy cơ biến chứng cấp tính.","Dùng trong điều trị các bệnh viêm nhiễm hoặc tự miễn, nhưng gây kháng insulin. | Dùng trong điều trị viêm, tự miễn, dị ứng. | Dùng để điều trị viêm, dị ứng, tự miễn. | Dùng trong điều trị viêm nhiễm hoặc rối loạn miễn dịch. | Dùng để điều trị viêm, dị ứng, tự miễn.","Tăng lượng glucose máu thông qua cơ chế tăng sinh tổng hợp glucose ở gan và giảm nhạy cảm insulin. | Tăng glucose máu do tác động lên tuyến thượng thận và tăng chuyển hóa đường. | Gây tăng glucose máu do ảnh hưởng đến chuyển hóa carbohydrate. | Tăng glucose máu do tác động lên gan và giảm nhạy cảm insulin. | Gây tăng glucose máu do ảnh hưởng đến chuyển hóa glucose.","https://web.archive.org/web/https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/ | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
"141","DRUG_6c278de511","Drug","Thuốc hạ huyết áp","Sử dụng từ 2 loại thuốc hạ áp trở lên khi HA > 150/90mmHg hoặc = 150/90mmHg. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, cần uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, tuân thủ đúng - đều - đủ để đạt hiệu quả tối ưu. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, cần tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, uống đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, cần tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng không được nêu rõ trong văn bản. | Liều lượng và cách dùng theo toa bác sĩ, tuân thủ đúng - đều - đủ. | Liều lượng không được nêu rõ trong văn bản, cần tuân thủ toa bác sĩ. | Liều lượng và cách dùng theo toa của bác sĩ, cần tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, tuân thủ đúng - đều - đủ. | Liều lượng và cách dùng theo toa bác sĩ, cần tuân thủ đúng - đều - đủ.","Điều trị huyết áp cao ở bệnh nhân đái tháo đường típ 2. | Điều trị tăng huyết áp để đưa huyết áp về mức mục tiêu. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Điều trị tăng huyết áp để đưa huyết áp về mức mục tiêu. | Dùng để đưa huyết áp về mức 'ĐÍCH' và ngăn ngừa biến chứng. | Dùng để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Được chỉ định để đưa huyết áp về mức 'ĐÍCH' và ngăn ngừa biến chứng. | Dùng để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Điều trị tăng huyết áp để đưa huyết áp về mức mục tiêu. | Chỉ định để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Dùng để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng. | Dùng để đưa huyết áp về mức 'ĐÍCH' và ngăn ngừa biến chứng. | Điều trị tăng huyết áp để đưa huyết áp về mức 'ĐÍCH'. | Dùng để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng tim mạch. | Dùng để đưa huyết áp về mức 'ĐÍCH' nhằm ngăn ngừa biến chứng.","Giảm tác động của hệ thần kinh giao cảm và giãn mạch máu. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể trong văn bản, nhưng tác dụng là làm giảm huyết áp thông qua các cơ chế điều hòa mạch máu và tim. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Chưa nêu cụ thể trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là làm giảm huyết áp.","https://bachmai.gov.vn/bai-viet/kiem-soat-huyet-ap-va-can-nang-o-benh-nhan-dai-thao-duong-tip-2-viet-nam?id=d4b1411f-1da7-74f4-b337-1b88457dd69b | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/phong-cong-tac-xa-hoi/dieu-can-luu-y-khi-dieu-tri-tang-huyet-ap.html"
"142","DRUG_6c58758bc5","Drug","Gliclazide","Liều 80mg/ngày, uống 2-4 viên tùy đường huyết. Có thể gây hạ đường huyết. | Hiệu quả cao, chi phí phù hợp, khả năng tiếp cận tốt ở người dân Việt Nam và châu Á. | Thuốc Sulfunylurea có hiệu quả cao và chi phí phù hợp.","Điều trị đái tháo đường type 2, dùng phối hợp hoặc đơn độc. | Kiểm soát đường huyết trong đái tháo đường típ 2. | Kiểm soát đường huyết ở người bệnh đái tháo đường típ 2.","Kích thích tiết insulin từ tụy. | Cải thiện biến cố mạch máu nhỏ, ít nguy cơ hạ đường huyết.","https://web.archive.org/web/https://vncdc.gov.vn/quan-ly-benh-dai-thao-duong-nd14581.html | https://bachmai.gov.vn/bai-viet/cap-nhat-xu-huong-moi-trong-dieu-tri-dai-thao-duong-tip-2?id=d4ab61a0-919e-0805-1cdd-fe092c98c88e | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/cap-nhat-xu-huong-moi-trong-dieu-tri-dai-thao-duong-tip-2?id=d4ab61a0-919e-0805-1cdd-fe092c98c88e"
"143","DRUG_6d1f608ecc","Drug","Thuốc chống trầm cảm","Liều lượng và thời gian sử dụng cần được theo dõi chặt chẽ.","Có thể gây tăng đường huyết khi dùng kéo dài.","Tác động lên hệ thần kinh trung ương, ảnh hưởng đến chuyển hóa glucose.","https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/"
"144","DRUG_6d5ea8ff73","Drug","Ezetimibe","Liều lượng không được nêu rõ trong văn bản, thường dùng liều khởi đầu 10 mg/ngày. | Liều lượng không được nêu rõ trong văn bản, nhưng thường dùng liều khởi đầu thấp và tăng dần theo hướng dẫn. | Liều lượng không được nêu rõ trong văn bản, nhưng thường dùng liều duy trì theo hướng dẫn.","Phối hợp với statin để tăng hiệu quả kiểm soát LDL-C khi chưa đạt mục tiêu. | Phối hợp với statin để tăng hiệu quả kiểm soát LDL-C. | Phối hợp với statin để tăng hiệu quả kiểm soát LDL-C.","Ức chế hấp thu cholesterol ở ruột, làm giảm tổng lượng cholesterol trong máu.","https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01 | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01 | https://bachmai.gov.vn/bai-viet/doi-moi-tu-duy-dieu-tri-dai-thao-duong-typ-2-va-chien-luoc-kiem-soat-toan-dien-bien-chung-than-kinh?id=090463d0-4515-40c8-919c-8bebc41e2c01"
"145","DRUG_6fade7aea3","Drug","Thuốc hạ đường huyết","Liều lượng không được nêu rõ trong văn bản, nhưng có thể gây hạ đường huyết nếu dùng quá liều. | Liều lượng tùy theo loại thuốc và phản ứng lâm sàng. | Liều cao gây hạ glucose máu hoặc nhiễm toan ceton. | Liều lượng không được nêu rõ trong văn bản, nhưng có thể gây hạ đường huyết nếu dùng quá liều. | Liều lượng tùy theo thể bệnh và phản ứng của người bệnh. | Liều lượng và cách dùng không được tuân thủ bởi 39,3% bệnh nhân. | Liều lượng không được nêu rõ trong văn bản, nhưng có thể gây hạ đường huyết nếu dùng quá liều.","Dùng để điều trị đái tháo đường, nhưng liều cao gây hạ đường huyết. | Điều trị đái tháo đường típ 2 và hỗ trợ kiểm soát glucose. | Dùng để điều trị đái tháo đường. | Dùng để điều trị đái tháo đường, nhưng liều cao gây hạ đường huyết. | Chỉ định điều trị đái tháo đường, đặc biệt là loại không phải insulin. | Điều trị tăng đường huyết trong đái tháo đường. | Dùng để điều trị đái tháo đường, nhưng liều cao gây hạ đường huyết.","Tăng khả năng vận chuyển glucose vào tế bào hoặc ức chế hấp thu glucose ở ruột. | Tăng cường tác dụng của insulin hoặc giảm hấp thu glucose ở ruột. | Cơ chế tác động khác nhau tùy loại (tăng insulin, ức chế hấp thu glucose...). | Tăng tác dụng vận chuyển glucose vào tế bào hoặc ức chế hấp thu glucose ở ruột. | Hạ đường huyết thông qua nhiều cơ chế như ức chế hấp thu glucose ở ruột hoặc tăng tiết insulin. |  | Tăng khả năng vận chuyển glucose vào tế bào hoặc ức chế hấp thu glucose ở ruột.","https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://benhvienquynhon.gov.vn/tin-tuc/hoat-dong-cua-ttyt/dai-thao-duong-va-nhung-dieu-ban-can-biet/ | https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/cap-nhat-chan-doan-dieu-tri-benh-dai-thao-duong-va-bien-chung-8971-144.html | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421 | https://web.archive.org/web/http://www.tapchiyhocduphong.vn/tap-chi-y-hoc-du-phong/2015/08/kien-thuc-ve-benh-dai-thao-duong-va-mot-so-yeu-to-lien-quan-cua-nguoi-benh-tai-c-o81E20305.html | https://web.archive.org/web/https://bachmai.gov.vn/bai-viet/bien-chung-cua-benh-dai-thao-duong?id=f17ffc43-5abb-5dcb-54d1-d3887440a421"
"146","DRUG_725afa8c5e","Drug","Salbutamol (Ventolin)","Liều dùng thường là xịt hít 3 lần trong vòng 1 giờ nếu không đáp ứng.","Dùng để giãn cơ trơn phế quản trong cơn hen ác tính.","Thuốc kích thích β₂ chọn lọc, giãn cơ trơn phế quản nhanh, giảm co thắt đường thở.","https://medlatec.vn/tu-dien-benh-ly/con-hen-ac-tinh"
"147","DRUG_78b71c7662","Drug","Natriclorua 0,9%","Truyền 1 lít trong 1 giờ, sau đó 2 giờ. Dùng khi có tụt huyết áp hoặc mất nước nặng.","Bù dịch nhanh và đủ cho người bệnh mất nước nặng.","Cung cấp điện giải và nước để điều chỉnh thể tích tuần hoàn.","https://web.archive.org/web/https://benhviendakhoasongma.gov.vn/bai-viet/hon-me-tang-ap-luc-tham-thau-do-dai-thao-duong-210"
"148","DRUG_78c50fa413","Drug","Lisinopril","Liều ban đầu: 5 mg; liều duy trì: 10-40 mg/ngày.","Dùng cho tăng huyết áp độ 1 và kháng trị, đặc biệt ở người có suy tim.","Ức chế men chuyển, giảm sản sinh angiotensin II, giãn mạch.","https://web.archive.org/web/https://vncdc.gov.vn/huong-dan-chan-doan-va-dieu-tri-tang-huyet-ap-nd14594.html"
"149","DRUG_79270654b5","Drug","Thuốc lợi tiểu thiazide","Liều lượng không được nêu rõ trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản.","Điều trị tăng huyết áp.","Tăng đào thải nước và natri qua thận, giảm thể tích máu.","https://chanthuongvacotsong.bachmai.gov.vn/cao-huyet-ap-am-tham-ma-rat-hiem/"
"150","DRUG_7c4431fc20","Drug","Insulin tiêm","Liều lượng tùy theo cân nặng, tuổi và mức đường huyết.","Điều trị ĐTĐ típ 1 với liều lượng linh hoạt.","Cung cấp Insulin ngoại sinh theo thời gian và liều lượng được điều chỉnh.","https://benhviennhitrunguong.gov.vn/hoi-thao-xu-huong-dieu-tri-dai-thao-duong-tip-1-chung-ta-khong-the-dung-ngoai.html"
"151","DRUG_7ecdd61b84","Drug","Thuốc hạ huyết áp nhóm ức chế men chuyển","Liều lượng và thời gian điều trị cần theo dõi chức năng thận chặt chẽ.","Điều trị tăng huyết áp do hẹp động mạch thận.","Ức chế enzyme chuyển đổi angiotensin I thành II, làm giảm co thắt mạch máu.","https://web.archive.org/web/https://medlatec.vn/tin-tuc/hep-dong-mach-than-la-gi-muc-do-nguy-hiem-va-phuong-phap-dieu-tri"
"152","DRUG_7f41d4dab1","Drug","Irbesartan Stada 150 mg","Liều lượng: 150 mg mỗi ngày, uống duy trì.","Chỉ định điều trị tăng huyết áp và bảo vệ thận ở bệnh nhân ĐTĐ.","Ức chế hệ renin-angiotensin, làm giãn mạch máu và giảm huyết áp.","https://www.vinmec.com/vie/bai-viet/tong-quan-ve-benh-dai-thao-duong-vi"
"153","DRUG_802f1212c8","Drug","Thuốc kháng Leukotriene","Có dạng hít hoặc uống, thường dùng kết hợp với thuốc giãn phế quản. | Sử dụng kết hợp với thuốc giãn phế quản hoặc corticoid dạng hít.","Dùng để điều trị hen khó kiểm soát và dị ứng. | Dùng để ngăn chặn các chất gây co thắt phế quản do phản ứng viêm.","Ức chế enzym chuyển hóa axit arachidonic thành leukotriene, giảm co thắt và viêm. | Ức chế tổng hợp leukotriene, chất gây co thắt phế quản.","https://web.archive.org/web/http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html | http://phacdo.soytequangninh.gov.vn/news/tin-tuc-su-kien/hen-phe-quan-hieu-dung-de-song-khoe-dieu-tri-hieu-qua-phong-ngua-chu-dong.html"
"154","DRUG_842123ba62","Drug","Thuốc Anoro Ellipta","Dạng xịt khí dung, dùng hàng ngày để kiểm soát triệu chứng.","Dùng điều trị hen phế quản và COPD.","Kết hợp beta-2 agonist + anticholinergic, giãn phế quản và giảm tiết dịch.","https://www.vinmec.com/vie/bai-viet/lam-nao-de-chan-doan-hen-phe-quan-vi"
"155","DRUG_85bdbe6376","Drug","Thuốc điều trị tăng huyết áp","Liều lượng không được nêu cụ thể trong văn bản. | Liều lượng không được nêu rõ trong văn bản. | Liều lượng và cách dùng tuân theo chỉ định của bác sĩ. | Liều lượng và cách dùng theo chỉ định của bác sĩ chuyên khoa. | Liều lượng không được nêu rõ trong văn bản. | Liều lượng không được nêu rõ, chỉ nói 'theo đơn thuốc của bác sĩ chuyên khoa'. | Liều lượng không được nêu rõ trong văn bản. | Liều lượng không được nêu rõ trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản, cần tuân theo chỉ định của bác sĩ. | Liều lượng không được nêu cụ thể trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản. | Liều lượng và cách dùng không được nêu cụ thể trong văn bản. | Liều lượng và cách dùng không được nêu cụ thể trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản. | Liều lượng không được nêu cụ thể trong văn bản. | Liều lượng và cách dùng không được nêu cụ thể trong văn bản. | Liều lượng và thời gian dùng theo chỉ định của bác sĩ, có thể suốt đời. | Liều lượng và thời gian dùng thuốc cần tuân theo chỉ định của bác sĩ, có thể phải dùng suốt đời. | Liều lượng không được nêu cụ thể trong văn bản.","Điều trị tăng huyết áp khi thay đổi lối sống không hiệu quả. | Điều trị tăng huyết áp theo đơn của bác sĩ chuyên khoa. | Điều trị tăng huyết áp và ngăn ngừa biến chứng. | Điều trị tăng huyết áp theo đơn bác sĩ. | Điều trị tăng huyết áp và ngăn ngừa biến chứng. | Điều trị bệnh tăng huyết áp. | Điều trị tăng huyết áp và ngăn ngừa biến chứng. | Điều trị tăng huyết áp để kiểm soát và ngăn ngừa biến chứng. | Điều trị tăng huyết áp khi thay đổi lối sống không hiệu quả. | Điều trị tăng huyết áp khi thay đổi lối sống không hiệu quả. | Điều trị tăng huyết áp khi thay đổi lối sống không hiệu quả. | Điều trị tăng huyết áp để kiểm soát và ngăn ngừa biến chứng. | Điều trị tăng huyết áp, kiểm soát huyết áp lâu dài. | Điều trị tăng huyết áp khi thay đổi lối sống không hiệu quả.","Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Không nêu cụ thể trong văn bản, nhưng được sử dụng theo đơn thuốc của bác sĩ chuyên khoa. | Không nêu cụ thể trong văn bản, nhưng tác dụng là hạ huyết áp. | Không nêu cụ thể trong văn bản, nhưng được sử dụng theo đơn thuốc của bác sĩ chuyên khoa. | Không nêu cụ thể trong văn bản. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Chưa nêu cụ thể cơ chế trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng thường là giãn mạch, giảm gánh nặng tim. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến ức chế hệ renin-angiotensin hoặc giảm hoạt động giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến ức chế hệ renin-angiotensin hoặc giảm hoạt động giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng thường là giãn mạch, giảm thể tích máu hoặc ức chế hệ thần kinh giao cảm. | Cơ chế tác động chưa được nêu rõ trong văn bản, nhưng liên quan đến hệ renin-angiotensin và thần kinh giao cảm. | Không nêu cụ thể cơ chế trong văn bản, nhưng tác dụng là hạ huyết áp.","https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/tang-huyet-ap-can-benh-tham-lang-nhung-nguy-hiem-8463-146.html | https://web.archive.org/web/https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/tang-huyet-ap-can-benh-tham-lang-nhung-nguy-hiem-8463-146.html | https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/tang-huyet-ap-can-benh-tham-lang-nhung-nguy-hiem-8463-146.html | https://web.archive.org/web/https://bachmai.gov.vn/tin-chi-tiet/-/bai-viet/tang-huyet-ap-can-benh-tham-lang-nhung-nguy-hiem-8463-146.html | https://soyte.tuyenquang.gov.vn/tin-tuc/tang-huyet-ap-va-nhung-bien-chung-nguy-hiem.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | https://soyte.tuyenquang.gov.vn/tin-tuc/tang-huyet-ap-va-nhung-bien-chung-nguy-hiem.html | https://web.archive.org/web/http://bvhoanghoa.ytethanhhoa.gov.vn/web/khoa-phong-chuc-nang/khoa-phong-chuc-nang/to-cong-tac-xa-hoi/benh-tang-huyet-ap-ke-giet-nguoi-tham-lang.html | https://web.archive.org/web/https://soyte.tuyenquang.gov.vn/tin-tuc/tang-huyet-ap-va-nhung-bien-chung-nguy-hiem.html"
"156","DRUG_882a1af272","Drug","Thuốc điều chỉnh lipid","Cần kết hợp với chế độ ăn kiêng và thuốc hạ áp.","Điều trị rối loạn mỡ máu kèm theo tăng huyết áp và suy thận mạn.","Giảm cholesterol và các chất béo trung tính trong máu, giảm nguy cơ xơ vữa động mạch.","https://www.vinmec.com/vie/bai-viet/dieu-tri-tang-huyet-ap-kem-suy-man-vi"
"157","DRUG_8944fd4647","Drug","Thuốc kháng viêm dị ứng","Được dùng cho người có nền viêm âm ỉ, cần điều trị lâu dài. | Được chỉ định cho người có nền viêm dị ứng kéo dài.","Dùng hàng ngày để kiểm soát và phòng ngừa đợt hen tái phát. | Dùng hàng ngày để kiểm soát và dự phòng hen.","Giảm viêm mãn tính ở đường thở. | Giảm viêm mãn tính ở đường thở, ngăn cơn hen.","https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html | https://web.archive.org/web/https://benhviennhitrunguong.gov.vn/loi-khuyen-cua-cac-chuyen-gia-di-ung-ve-benh-hen-2.html"
